"pageId","box","type","attributes"
"3","[312,1324,1148,1171]","line","fontSize<10>"
"3","[264,1218,318,342]","line","fontSize<10>"
"3","[312,1283,1180,1203]","line","fontSize<10>"
"3","[264,1161,1436,1459]","line","fontSize<10>"
"3","[264,1161,1436,1459]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,1130,1468,1491]","line","fontSize<10>"
"3","[264,1130,1468,1491]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[312,1131,729,753]","line","fontSize<10>"
"3","[312,1068,793,817]","line","fontSize<10>"
"3","[264,1019,350,374]","line","fontSize<10>"
"3","[264,991,825,849]","line","fontSize<10>"
"3","[264,991,825,849]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<24>textOrientation<justified>"
"3","[264,982,1244,1267]","line","fontSize<10>"
"3","[264,982,1244,1267]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,965,1692,1715]","line","fontSize<10>"
"3","[264,965,1692,1715]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,950,1212,1235]","line","fontSize<10>"
"3","[264,950,1212,1235]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,928,1052,1075]","line","fontSize<10>"
"3","[264,928,1052,1075]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,779,1876,1902]","line","fontSize<11>"
"3","[264,781,1596,1619]","line","fontSize<10>"
"3","[264,781,1596,1619]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,698,937,963]","line","fontSize<11>"
"3","[264,693,494,520]","region",""
"3","[264,693,494,520]","block","lineHeight<26>"
"3","[264,693,494,520]","line","fontSize<11>"
"3","[264,693,494,520]","paragraph","_layoutExtrapolated<true>fontSize<11>indentation<exdent>lineHeight<26>textOrientation<justified>"
"3","[264,739,284,307]","line","fontSize<10>"
"3","[264,739,284,307]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,668,972,998]","line","fontSize<11>"
"3","[264,718,1564,1587]","line","fontSize<10>"
"3","[264,718,1564,1587]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,683,1724,1747]","line","fontSize<10>"
"3","[264,683,1724,1747]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[264,650,1276,1299]","line","fontSize<10>"
"3","[264,650,1276,1299]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<exdent>lineHeight<23>textOrientation<justified>"
"3","[312,643,1404,1427]","line","fontSize<10>"
"3","[312,591,1660,1683]","line","fontSize<10>"
"3","[312,541,665,689]","line","fontSize<10>"
"3","[312,511,1340,1363]","line","fontSize<10>"
"3","[312,466,1532,1555]","line","fontSize<10>"
"3","[312,446,601,625]","line","fontSize<10>"
"4","[280,1298,296,1528]","image",""
"4","[260,1326,1557,1993]","region",""
"4","[260,1326,1557,1993]","column","lineHeight<24>"
"4","[264,1323,1667,1892]","region",""
"4","[264,1323,1667,1892]","block","indentation<indent>lineHeight<25>"
"4","[264,1323,1667,1892]","paragraph","fontSize<11>indentation<indent>lineHeight<25>textOrientation<justified>"
"4","[264,1323,1557,1615]","region",""
"4","[264,1323,1557,1615]","block","lineHeight<23>"
"4","[264,1323,1557,1615]","paragraph","fontSize<10>indentation<none>lineHeight<23>textOrientation<justified>"
"4","[264,1323,1707,1732]","line","fontSize<11>"
"4","[264,1323,1747,1772]","line","fontSize<11>"
"4","[264,1323,1787,1812]","line","fontSize<11>"
"4","[264,1323,1827,1852]","line","fontSize<11>"
"4","[264,1322,1867,1892]","line","fontSize<11>"
"4","[260,1326,1969,1993]","region",""
"4","[260,1326,1969,1993]","block","lineHeight<24>"
"4","[260,1326,1969,1993]","line","fontSize<9>"
"4","[260,1326,1969,1993]","paragraph","_layoutExtrapolated<true>fontSize<9>indentation<none>lineHeight<24>textOrientation<justified>"
"4","[312,1323,1667,1692]","line","fontSize<11>"
"4","[264,1323,1557,1580]","line","fontSize<10>"
"4","[264,1215,1592,1615]","line","fontSize<10>"
"5","[264,1325,284,1986]","region",""
"5","[264,1325,284,1986]","column","lineHeight<25>"
"5","[264,1325,284,1310]","region",""
